,Techniques,Rule
173,impacT,Resources/sigma-master/rules/web/web_apache_segfault.yml
174,T1499,Resources/sigma-master/rules/web/web_apache_segfault.yml
175,T1499.004,Resources/sigma-master/rules/web/web_apache_segfault.yml
176,iniTial_access,Resources/sigma-master/rules/web/web_fortinet_cve_2021_22123_exploit.yml
177,T1190,Resources/sigma-master/rules/web/web_fortinet_cve_2021_22123_exploit.yml
178,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
179,T1190,Resources/sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
180,persisTence,Resources/sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
181,T1505.003,Resources/sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
182,persisTence,Resources/sigma-master/rules/web/web_unc2546_dewmode_php_webshell.yml
183,T1505.003,Resources/sigma-master/rules/web/web_unc2546_dewmode_php_webshell.yml
184,iniTial_access,Resources/sigma-master/rules/web/web_cve_2020_5902_f5_bigip.yml
185,T1190,Resources/sigma-master/rules/web/web_cve_2020_5902_f5_bigip.yml
186,iniTial_access,Resources/sigma-master/rules/web/web_pulsesecure_cve_2019_11510.yml
187,T1190,Resources/sigma-master/rules/web/web_pulsesecure_cve_2019_11510.yml
188,iniTial_access,Resources/sigma-master/rules/web/web_exchange_proxyshell.yml
189,T1190,Resources/sigma-master/rules/web/web_terramaster_cve_2020_28188_rce_exploit.yml
190,iniTial_access,Resources/sigma-master/rules/web/web_terramaster_cve_2020_28188_rce_exploit.yml
191,execuTion,Resources/sigma-master/rules/web/win_powershell_snapins_hafnium.yml
192,T1086,Resources/sigma-master/rules/web/win_powershell_snapins_hafnium.yml
193,T1059.001,Resources/sigma-master/rules/web/win_powershell_snapins_hafnium.yml
194,collecTion,Resources/sigma-master/rules/web/win_powershell_snapins_hafnium.yml
195,T1114,Resources/sigma-master/rules/web/win_powershell_snapins_hafnium.yml
